stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
608,20,Adelaide at Ada NB - #20,,42.974289,-81.225234,,,,,,0
596,21,Adelaide at Ada SB - #21,,42.97461,-81.225615,,,,,,0
598,22,Adelaide at Central  NB - #22,,42.994567,-81.234344,,,,,,0
599,23,Adelaide at Central  SB - #23,,42.99494,-81.234663,,,,,,0
227,24,Adelaide at Cheapside NB - #24,,43.00647,-81.240181,,,,,,0
230,25,Adelaide at Cheapside SB - #25,,43.005866,-81.240088,,,,,,0
225,27,Adelaide at Dundas NB - #27,,42.989214,-81.231686,,,,,,0
232,28,Adelaide at Dundas SB - #28,,42.988343,-81.231467,,,,,,0
601,29,Adelaide at Edna SB - #29,,42.971883,-81.224342,,,,,,0
228,32,Adelaide at Fanshawe Pk Rd SB - #32,,43.034328,-81.254625,,,,,,0
603,33,Adelaide at Glenora NB - #33,,43.029017,-81.251604,,,,,,0
604,34,Adelaide at Grosvenor NB - #34,,43.004337,-81.239172,,,,,,0
605,35,Adelaide at Grosvenor SB - #35,,43.004249,-81.239265,,,,,,0
606,36,Adelaide at Hamilton SB - #36,,42.982275,-81.228829,,,,,,0
607,37,Adelaide at Hill NB - #37,,42.979827,-81.227608,,,,,,0
1158,38,Adelaide at Hill SB - #38,,42.980363,-81.227992,,,,,,0
23,39,Adelaide at Huron  NB - #39,,43.012606,-81.243443,,,,,,0
229,40,Adelaide at Huron SB - #40,,43.011146,-81.24272,,,,,,0
1160,42,Opposite 1145 Adelaide NB - #42,,43.015827,-81.245032,,,,,,0
1161,43,Adelaide north of Kipps Lane  NB - #43,,43.018099,-81.246148,,,,,,0
1162,44,Adelaide north of Kipps Lane SB - #44,,43.01775,-81.24618,,,,,,0
1165,47,Adelaide south of Kipps Lane 2 SB - #47,,43.014658,-81.244642,,,,,,0
1166,48,Adelaide south of Leathorne St NB - #48,,42.960884,-81.216852,,,,,,0
1167,49,Adelaide at Leathorne SB - #49,,42.961015,-81.217334,,,,,,0
1168,50,Adelaide north of Leathorne 1 NB - #50,,42.962904,-81.220032,,,,,,0
1169,52,Adelaide north of Leathorne 2 NB - #52,,42.963991,-81.220618,,,,,,0
1171,53,Adelaide at Little Simcoe NB - #53,,42.982516,-81.228761,,,,,,0
1172,54,Adelaide at Lorne NB - #54,,42.992328,-81.233229,,,,,,0
776,55,Adelaide at Mapledale SB - #55,,43.031429,-81.253063,,,,,,0
1173,56,Adelaide at Maud NB - #56,,42.970708,-81.223681,,,,,,0
1174,57,Adelaide at McMahen NB - #57,,42.997642,-81.23587,,,,,,0
